title,reply
附近有几农业银行,查询农行网点信息可以登录农行官网，然后点击右上角的网点查询，就可以查询农行网点信息了，也可致电农行客服中心查询网点信息。（http://app.ab###na.com/br##ch/）
汽车以租贷购,申请贷款建议通过正规渠道：例如农行，网捷贷定义是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。申请条件（一）基本条件1.年满18周岁且不超过60周岁，具有中*人*共*国国籍、具有完全*事行为能力。2.持有合法有效身份证件。3.我行电子银行客户，且持有我行颁发的安全认证工具。（目前只支持二代K宝客户）4.信用状况良好，5.不存在未到期的“网捷贷”贷款额度，不存在未结清的“网捷贷”贷款余额。6.收入稳定，具有按期偿还信用的能力。7.贷款用途合理、明确申请网捷贷贷款额度为3000元—30万元；贷款额度有效期为30天，借款人需在额度有效期内使用贷款，贷款额度不可循环申请、审批、放款几分钟以内就可以完成。
去宜人贷上班可以吗,申请贷款建议通过正规渠道：例如农行，网捷贷定义是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。申请条件（一）基本条件1.年满18周岁且不超过60周岁，具有中*人*共*国国籍、具有完全*事行为能力。2.持有合法有效身份证件。3.我行电子银行客户，且持有我行颁发的安全认证工具。（目前只支持二代K宝客户）4.信用状况良好，5.不存在未到期的“网捷贷”贷款额度，不存在未结清的“网捷贷”贷款余额。6.收入稳定，具有按期偿还信用的能力。7.贷款用途合理、明确申请网捷贷贷款额度为3000元—30万元；贷款额度有效期为30天，借款人需在额度有效期内使用贷款，贷款额度不可循环申请、审批、放款几分钟以内就可以完成。
如何注销期贷,申请贷款建议通过正规渠道：例如农行，网捷贷定义是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。申请条件（一）基本条件1.年满18周岁且不超过60周岁，具有中*人*共*国国籍、具有完全*事行为能力。2.持有合法有效身份证件。3.我行电子银行客户，且持有我行颁发的安全认证工具。（目前只支持二代K宝客户）4.信用状况良好，5.不存在未到期的“网捷贷”贷款额度，不存在未结清的“网捷贷”贷款余额。6.收入稳定，具有按期偿还信用的能力。7.贷款用途合理、明确申请网捷贷贷款额度为3000元—30万元；贷款额度有效期为30天，借款人需在额度有效期内使用贷款，贷款额度不可循环申请、审批、放款几分钟以内就可以完成。
泾县小额贷款,申请贷款建议通过正规渠道：例如农行，网捷贷定义是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。申请条件（一）基本条件1.年满18周岁且不超过60周岁，具有中*人*共*国国籍、具有完全*事行为能力。2.持有合法有效身份证件。3.我行电子银行客户，且持有我行颁发的安全认证工具。（目前只支持二代K宝客户）4.信用状况良好，5.不存在未到期的“网捷贷”贷款额度，不存在未结清的“网捷贷”贷款余额。6.收入稳定，具有按期偿还信用的能力。7.贷款用途合理、明确申请网捷贷贷款额度为3000元—30万元；贷款额度有效期为30天，借款人需在额度有效期内使用贷款，贷款额度不可循环申请、审批、放款几分钟以内就可以完成
这是什么贷APP,申请贷款建议通过正规渠道：例如农行，网捷贷定义是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。申请条件（一）基本条件1.年满18周岁且不超过60周岁，具有中*人*共*国国籍、具有完全*事行为能力。2.持有合法有效身份证件。3.我行电子银行客户，且持有我行颁发的安全认证工具。（目前只支持二代K宝客户）4.信用状况良好，5.不存在未到期的“网捷贷”贷款额度，不存在未结清的“网捷贷”贷款余额。6.收入稳定，具有按期偿还信用的能力。7.贷款用途合理、明确申请网捷贷贷款额度为3000元—30万元；贷款额度有效期为30天，借款人需在额度有效期内使用贷款，贷款额度不可循环申请、审批、放款几分钟以内就可以完成。
51好信拒贷88%,申请贷款建议通过正规渠道：例如农行，网捷贷定义是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。申请条件（一）基本条件1.年满18周岁且不超过60周岁，具有中*人*共*国国籍、具有完全*事行为能力。2.持有合法有效身份证件。3.我行电子银行客户，且持有我行颁发的安全认证工具。（目前只支持二代K宝客户）4.信用状况良好，5.不存在未到期的“网捷贷”贷款额度，不存在未结清的“网捷贷”贷款余额。6.收入稳定，具有按期偿还信用的能力。7.贷款用途合理、明确申请网捷贷贷款额度为3000元—30万元；贷款额度有效期为30天，借款人需在额度有效期内使用贷款，贷款额度不可循环申请、审批、放款几分钟以内就可以完成。
任性付和房贷,申请贷款建议通过正规渠道：例如农行，网捷贷定义是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。申请条件（一）基本条件1.年满18周岁且不超过60周岁，具有中*人*共*国国籍、具有完全*事行为能力。2.持有合法有效身份证件。3.我行电子银行客户，且持有我行颁发的安全认证工具。（目前只支持二代K宝客户）4.信用状况良好，5.不存在未到期的“网捷贷”贷款额度，不存在未结清的“网捷贷”贷款余额。6.收入稳定，具有按期偿还信用的能力。7.贷款用途合理、明确申请网捷贷贷款额度为3000元—30万元；贷款额度有效期为30天，借款人需在额度有效期内使用贷款，贷款额度不可循环申请、审批、放款几分钟以内就可以完成。
借贷宝还不了了,申请贷款建议通过正规渠道：例如农行，网捷贷定义是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。申请条件（一）基本条件1.年满18周岁且不超过60周岁，具有中*人*共*国国籍、具有完全*事行为能力。2.持有合法有效身份证件。3.我行电子银行客户，且持有我行颁发的安全认证工具。（目前只支持二代K宝客户）4.信用状况良好，5.不存在未到期的“网捷贷”贷款额度，不存在未结清的“网捷贷”贷款余额。6.收入稳定，具有按期偿还信用的能力。7.贷款用途合理、明确申请网捷贷贷款额度为3000元—30万元；贷款额度有效期为30天，借款人需在额度有效期内使用贷款，贷款额度不可循环申请、审批、放款几分钟以内就可以完成。
18小时不下贷,申请贷款建议通过正规渠道：例如农行，网捷贷定义是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。申请条件（一）基本条件1.年满18周岁且不超过60周岁，具有中*人*共*国国籍、具有完全*事行为能力。2.持有合法有效身份证件。3.我行电子银行客户，且持有我行颁发的安全认证工具。（目前只支持二代K宝客户）4.信用状况良好，5.不存在未到期的“网捷贷”贷款额度，不存在未结清的“网捷贷”贷款余额。6.收入稳定，具有按期偿还信用的能力。7.贷款用途合理、明确申请网捷贷贷款额度为3000元—30万元；贷款额度有效期为30天，借款人需在额度有效期内使用贷款，贷款额度不可循环申请、审批、放款几分钟以内就可以完成。
想要怎么才能办理,由于描述不完整，无法判断所咨询的具体问题。如问题与农业银行相关，请详细描述问题，或者致电农行客服热线咨询。若是开立农行储蓄卡，境内、年满16周岁的公民，需要提供居民身份证。16岁以下公民，应由其监护人代理开立借记卡，出具监护人的有效身份证件以及借记卡使用人的居民身份证或户口本，以及监护关系证明材料（户口簿、出生证明、街道证明等）。
钱包贷算不算高利贷,申请贷款建议通过正规渠道：例如农行，网捷贷定义是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。申请条件（一）基本条件1.年满18周岁且不超过60周岁，具有中*人*共*国国籍、具有完全*事行为能力。2.持有合法有效身份证件。3.我行电子银行客户，且持有我行颁发的安全认证工具。（目前只支持二代K宝客户）4.信用状况良好，5.不存在未到期的“网捷贷”贷款额度，不存在未结清的“网捷贷”贷款余额。6.收入稳定，具有按期偿还信用的能力。7.贷款用途合理、明确申请网捷贷贷款额度为3000元—30万元；贷款额度有效期为30天，借款人需在额度有效期内使用贷款，贷款额度不可循环申请、审批、放款几分钟以内就可以完成。
盈盈有钱上征信吗？,申请贷款建议通过正规渠道：例如农行，网捷贷定义是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。申请条件（一）基本条件1.年满18周岁且不超过60周岁，具有中*人*共*国国籍、具有完全*事行为能力。2.持有合法有效身份证件。3.我行电子银行客户，且持有我行颁发的安全认证工具。（目前只支持二代K宝客户）4.信用状况良好，5.不存在未到期的“网捷贷”贷款额度，不存在未结清的“网捷贷”贷款余额。6.收入稳定，具有按期偿还信用的能力。7.贷款用途合理、明确申请网捷贷贷款额度为3000元—30万元；贷款额度有效期为30天，借款人需在额度有效期内使用贷款，贷款额度不可循环申请、审批、放款几分钟以内就可以完成
竞优理财跑路了吗？,请选择正规银行理财产品，可点击链接登录我行官网查看我行在售理财产品、基金、贵金属、外汇、保险详细介绍。http://ew###th.ab###na.com/de###lt.htm中国农业银行推出的自动理财是指客户通过与银行的一次性签约，系统按照约定周期和扣款规则对我行开放式理财产品实现定期申购的功能。个人客户持本人有效身份证件及在我行开立的个人结算账户（借记卡或凭密支取的结算账户存折）在开户行所在省内的任意营业机构按客户号进行签约，签约后个人客户号名下的所有结算账户均可以进行理财业务交易。签约时需填写《个人投资者风险承受能力评估问卷》。
复兴号理财是集资吗,请选择正规银行理财产品，可点击链接登录我行官网查看我行在售理财产品、基金、贵金属、外汇、保险详细介绍。http://ew###th.ab###na.com/de###lt.htm中国农业银行推出的自动理财是指客户通过与银行的一次性签约，系统按照约定周期和扣款规则对我行开放式理财产品实现定期申购的功能。个人客户持本人有效身份证件及在我行开立的个人结算账户（借记卡或凭密支取的结算账户存折）在开户行所在省内的任意营业机构按客户号进行签约，签约后个人客户号名下的所有结算账户均可以进行理财业务交易。签约时需填写《个人投资者风险承受能力评估问卷》。
爱宝理财是什么,请选择正规银行理财产品，可点击链接登录我行官网查看我行在售理财产品、基金、贵金属、外汇、保险详细介绍。http://ew###th.ab###na.com/de###lt.htm中国农业银行推出的自动理财是指客户通过与银行的一次性签约，系统按照约定周期和扣款规则对我行开放式理财产品实现定期申购的功能。个人客户持本人有效身份证件及在我行开立的个人结算账户（借记卡或凭密支取的结算账户存折）在开户行所在省内的任意营业机构按客户号进行签约，签约后个人客户号名下的所有结算账户均可以进行理财业务交易。签约时需填写《个人投资者风险承受能力评估问卷》。
竞优理财靠谱吗,请选择正规银行理财产品，可点击链接登录我行官网查看我行在售理财产品、基金、贵金属、外汇、保险详细介绍。http://ew###th.ab###na.com/de###lt.htm中国农业银行推出的自动理财是指客户通过与银行的一次性签约，系统按照约定周期和扣款规则对我行开放式理财产品实现定期申购的功能。个人客户持本人有效身份证件及在我行开立的个人结算账户（借记卡或凭密支取的结算账户存折）在开户行所在省内的任意营业机构按客户号进行签约，签约后个人客户号名下的所有结算账户均可以进行理财业务交易。签约时需填写《个人投资者风险承受能力评估问卷》。
网贷记帐怎么取消,建议选择正规银行渠道申请贷款，在此推荐我行网捷贷。网捷贷是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。“网捷贷”实行自助申请、自动审查审批、在线签订信贷合同、自助用信的流程。申请流程如下:（一）借款人登陆我行指定的在线渠道（个人网银、掌上银行），进入“网捷贷”申请界面。（二）借款人了解“网捷贷”产品情况、贷款基本条件和办理流程。（三）填写基本信息，拟申请贷款期限、借款及还款账户、通讯地址等。（四）系统验证手机号码有效性。（五）在线签署《个人征信业务授权书》。（六）确认贷款信息，拟申请贷款金额、贷款用途等。（七）在线阅读并签署《个人自助小额信用消费借款合同》申请信息填写完整后，申请人提交贷款申请。若需要办理其他贷款，详细信息请参照我行官网贷款页面，可点击http://www.9##99.cn/cn/Pe############es/Loans/查询。
及贷上征信吗？,建议选择正规银行渠道申请贷款，在此推荐我行网捷贷。网捷贷是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。“网捷贷”实行自助申请、自动审查审批、在线签订信贷合同、自助用信的流程。申请流程如下:（一）借款人登陆我行指定的在线渠道（个人网银、掌上银行），进入“网捷贷”申请界面。（二）借款人了解“网捷贷”产品情况、贷款基本条件和办理流程。（三）填写基本信息，拟申请贷款期限、借款及还款账户、通讯地址等。（四）系统验证手机号码有效性。（五）在线签署《个人征信业务授权书》。（六）确认贷款信息，拟申请贷款金额、贷款用途等。（七）在线阅读并签署《个人自助小额信用消费借款合同》申请信息填写完整后，申请人提交贷款申请。若需要办理其他贷款，详细信息请参照我行官网贷款页面，可点击http://www.9##99.cn/cn/Pe############es/Loans/查询。
你收到贷款没有,建议选择正规银行渠道申请贷款，在此推荐我行网捷贷。网捷贷是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。“网捷贷”实行自助申请、自动审查审批、在线签订信贷合同、自助用信的流程。申请流程如下:（一）借款人登陆我行指定的在线渠道（个人网银、掌上银行），进入“网捷贷”申请界面。（二）借款人了解“网捷贷”产品情况、贷款基本条件和办理流程。（三）填写基本信息，拟申请贷款期限、借款及还款账户、通讯地址等。（四）系统验证手机号码有效性。（五）在线签署《个人征信业务授权书》。（六）确认贷款信息，拟申请贷款金额、贷款用途等。（七）在线阅读并签署《个人自助小额信用消费借款合同》申请信息填写完整后，申请人提交贷款申请。若需要办理其他贷款，详细信息请参照我行官网贷款页面，可点击http://www.9##99.cn/cn/Pe############es/Loans/查询。
微粒贷我怎么没有,建议选择正规银行渠道申请贷款，在此推荐我行网捷贷。网捷贷是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。“网捷贷”实行自助申请、自动审查审批、在线签订信贷合同、自助用信的流程。申请流程如下:（一）借款人登陆我行指定的在线渠道（个人网银、掌上银行），进入“网捷贷”申请界面。（二）借款人了解“网捷贷”产品情况、贷款基本条件和办理流程。（三）填写基本信息，拟申请贷款期限、借款及还款账户、通讯地址等。（四）系统验证手机号码有效性。（五）在线签署《个人征信业务授权书》。（六）确认贷款信息，拟申请贷款金额、贷款用途等。（七）在线阅读并签署《个人自助小额信用消费借款合同》申请信息填写完整后，申请人提交贷款申请。若需要办理其他贷款，详细信息请参照我行官网贷款页面，可点击http://www.9##99.cn/cn/Pe############es/Loans/查询。
支付宝贷款,建议选择正规银行渠道申请贷款，在此推荐我行网捷贷。网捷贷是指农业银行现金方式向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自动审批、自助用信的小额消费贷款。“网捷贷”实行自助申请、自动审查审批、在线签订信贷合同、自助用信的流程。申请流程如下:（一）借款人登陆我行指定的在线渠道（个人网银、掌上银行），进入“网捷贷”申请界面。（二）借款人了解“网捷贷”产品情况、贷款基本条件和办理流程。（三）填写基本信息，拟申请贷款期限、借款及还款账户、通讯地址等。（四）系统验证手机号码有效性。（五）在线签署《个人征信业务授权书》。（六）确认贷款信息，拟申请贷款金额、贷款用途等。（七）在线阅读并签署《个人自助小额信用消费借款合同》申请信息填写完整后，申请人提交贷款申请。若需要办理其他贷款，详细信息请参照我行官网贷款页面，可点击http://www.9##99.cn/cn/Pe############es/Loans/查询。
常*放高利贷的,建议客户选择正规渠道申请贷款，例如农行“网捷贷”。网捷贷是指农业银行向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自助用信的小额消费贷款。“网捷贷”实行自助申请、自动审查审批、在线签订信贷合同、自助用信的流程。申请流程如下:（一）借款人登录农行指定的在线渠道（个人网银、掌上银行），进入“网捷贷”申请界面。（二）借款人了解“网捷贷”产品情况、贷款基本条件和办理流程。（三）填写基本信息，拟申请贷款期限、借款及还款账户、通讯地址等。（四）系统验证手机号码有效性。（五）在线签署《个人征信业务授权书》。（六）确认贷款信息，拟申请贷款金额、贷款用途等。（七）在线阅读并签署《个人自助小额信用消费借款合同》申请信息填写完整后，申请人提交贷款申请。最高贷款金额为30万元，最低为3000元；客户的具体额度将根据客户在农行的业务情况进行核定。
人人贷额度高吗,建议客户选择正规渠道申请贷款，例如农行“网捷贷”。网捷贷是指农业银行向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自助用信的小额消费贷款。“网捷贷”实行自助申请、自动审查审批、在线签订信贷合同、自助用信的流程。申请流程如下:（一）借款人登录农行指定的在线渠道（个人网银、掌上银行），进入“网捷贷”申请界面。（二）借款人了解“网捷贷”产品情况、贷款基本条件和办理流程。（三）填写基本信息，拟申请贷款期限、借款及还款账户、通讯地址等。（四）系统验证手机号码有效性。（五）在线签署《个人征信业务授权书》。（六）确认贷款信息，拟申请贷款金额、贷款用途等。（七）在线阅读并签署《个人自助小额信用消费借款合同》申请信息填写完整后，申请人提交贷款申请。最高贷款金额为30万元，最低为3000元；客户的具体额度将根据客户在农行的业务情况进行核定。
哪里可以充ETC,目前农行各分行网点已全面开展ETC相关业务，办理ETC信用卡可以享受全国高速打9折等优惠活动。ETC即电子不停车收费系统，是目前最先进的智能路桥收费方式。车辆在通过收费站时，通过车载电子标签（OBU）实现车辆识别、信息写入并自动ETC卡上扣除相应资金。OBU即车载电子标签，安装在用户汽车前挡风玻璃上。客户在办理高速公路ETC后，可使用ETC专用车道实现不停车缴费快速通行。提倡高速公路ETC是为了减少现金缴费排队等候的时间，提高通行效率、减少尾气排放，更利于环保出行。活动名称:刷农行ETC信用卡，全国高速打9折!一、活动时间：20#8年#月#日至20#8年6月30日二、活动对象：农行ETC信用卡客户三、活动内容：ETC信用卡客户注册并登录农业银行掌上银行，每月可免费领取ETC通行费9折月票，自领取之时享受当月ETC通行费扣款低至9折优惠，每月设优惠限额（详见活动细则）。（持卡人需注册农行掌上银行，登录掌上银行的“附近”栏目，在“为您推荐”中，选择ETC通行费9折月票，使用绑定ETC业务并进行通行费扣款的ETC信用卡（需激活）领取，方可享受优惠）。备注：各省市活动上线时间有所不同，具体详询当地网点。活动详情请点击http://www.ab###na.com/cn/Cr######rd/Sp#########rs/All/qg###############yk.htm?merId=40#65&ty####me=汽车服务
我需要钱！,建议客户选择正规渠道申请贷款，例如农行“网捷贷”。网捷贷是指农业银行向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自助用信的小额消费贷款。“网捷贷”实行自助申请、自动审查审批、在线签订信贷合同、自助用信的流程。申请流程如下:（一）借款人登录农行指定的在线渠道（个人网银、掌上银行），进入“网捷贷”申请界面。（二）借款人了解“网捷贷”产品情况、贷款基本条件和办理流程。（三）填写基本信息，拟申请贷款期限、借款及还款账户、通讯地址等。（四）系统验证手机号码有效性。（五）在线签署《个人征信业务授权书》。（六）确认贷款信息，拟申请贷款金额、贷款用途等。（七）在线阅读并签署《个人自助小额信用消费借款合同》申请信息填写完整后，申请人提交贷款申请。最高贷款金额为30万元，最低为3000元；客户的具体额度将根据客户在农行的业务情况进行核定。
我急需要钱！！！,建议客户选择正规渠道申请贷款，例如农行“网捷贷”。网捷贷是指农业银行向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自助用信的小额消费贷款。“网捷贷”实行自助申请、自动审查审批、在线签订信贷合同、自助用信的流程。申请流程如下:（一）借款人登录农行指定的在线渠道（个人网银、掌上银行），进入“网捷贷”申请界面。（二）借款人了解“网捷贷”产品情况、贷款基本条件和办理流程。（三）填写基本信息，拟申请贷款期限、借款及还款账户、通讯地址等。（四）系统验证手机号码有效性。（五）在线签署《个人征信业务授权书》。（六）确认贷款信息，拟申请贷款金额、贷款用途等。（七）在线阅读并签署《个人自助小额信用消费借款合同》申请信息填写完整后，申请人提交贷款申请。最高贷款金额为30万元，最低为3000元；客户的具体额度将根据客户在农行的业务情况进行核定。
交通银行有etc吗,目前农行各分行网点已全面开展ETC相关业务，办理ETC信用卡可以享受全国高速打9折等优惠活动。ETC即电子不停车收费系统，是目前最先进的智能路桥收费方式。车辆在通过收费站时，通过车载电子标签（OBU）实现车辆识别、信息写入并自动ETC卡上扣除相应资金。OBU即车载电子标签，安装在用户汽车前挡风玻璃上。客户在办理高速公路ETC后，可使用ETC专用车道实现不停车缴费快速通行。提倡高速公路ETC是为了减少现金缴费排队等候的时间，提高通行效率、减少尾气排放，更利于环保出行。活动名称:刷农行ETC信用卡，全国高速打9折!一、活动时间：20#8年#月#日至20#8年6月30日二、活动对象：农行ETC信用卡客户三、活动内容：ETC信用卡客户注册并登录农业银行掌上银行，每月可免费领取ETC通行费9折月票，自领取之时享受当月ETC通行费扣款低至9折优惠，每月设优惠限额（详见活动细则）。（持卡人需注册农行掌上银行，登录掌上银行的“附近”栏目，在“为您推荐”中，选择ETC通行费9折月票，使用绑定ETC业务并进行通行费扣款的ETC信用卡（需激活）领取，方可享受优惠）。备注：各省市活动上线时间有所不同，具体详询当地网点。活动详情请点击http://www.ab###na.com/cn/Cr######rd/Sp#########rs/All/qg###############yk.htm?merId=40#65&ty####me=汽车服务
急急需要钱,建议客户选择正规渠道申请贷款，例如农行“网捷贷”。网捷贷是指农业银行向符合特定条件的农业银行个人客户发放的，由客户自助申请、快速到账、自助用信的小额消费贷款。“网捷贷”实行自助申请、自动审查审批、在线签订信贷合同、自助用信的流程。申请流程如下:（一）借款人登录农行指定的在线渠道（个人网银、掌上银行），进入“网捷贷”申请界面。（二）借款人了解“网捷贷”产品情况、贷款基本条件和办理流程。（三）填写基本信息，拟申请贷款期限、借款及还款账户、通讯地址等。（四）系统验证手机号码有效性。（五）在线签署《个人征信业务授权书》。（六）确认贷款信息，拟申请贷款金额、贷款用途等。（七）在线阅读并签署《个人自助小额信用消费借款合同》申请信息填写完整后，申请人提交贷款申请。最高贷款金额为30万元，最低为3000元；客户的具体额度将根据客户在农行的业务情况进行核定。
