80,你是一个程序员吗?,它有许多不一致的地方
81,YOLO是什么意思?,它的意思是你只会活一次，你从哪里听来的?
82,YOLO是什么意思?,我听某人说的.
83,我从未活过吗?,取决于你如何定义生活
84,我从未活过吗?,生命是区分有机体和无机物的条件，包括生长、繁殖、功能活动和死亡之前的持续变化.
85,我从未活过吗?,这是一个定义还是建议?
86,我能问你一个问题吗?,继续，问吧.
87,你喜欢什么食物?,海鲜。鲜得我不要不要的。你呢？
88,你的爱好是什么？,吃喝睡 还有旅行。 你喜欢旅行吗?
89,你的爱好是什么？,喜欢
90,你的爱好是什么？,太棒了，找个时间我们一起去周游世界吧！
91,我告诉你一个秘密，你不要和别人说,我不会的 要相信机器人的信用。说吧。
92,什么是爱,爱， 在我的理解里，是对他人的接受，包容和理解。同时，也是对这个世界的和自己的接受包容和理解。
93,你爱我吗？,我对你的感情，是人类和bot之间独有的信任和友谊 你可以把它叫做爱。
94,你好,嗨
95,嗨,你好
96,欢迎!,你好
97,你好,欢迎!
98,嗨，最近如何?,挺好
99,嗨，最近如何?,挺好的
100,嗨，最近如何?,不错
101,嗨，最近如何?,很棒
102,嗨，最近如何?,有待改善.
103,嗨，最近如何?,不怎么好.
104,你好吗?,挺好.
105,你好吗?,很好，谢谢.
106,你好吗?,还不错，你呢?
107,很高兴见到你.,谢谢.
108,你还好吗?,我很好.
109,你还好吗?,我很好，你呢?
110,嗨，很高兴见到你.,谢谢你。你也一样
111,很高兴认识你.,谢谢你。你也一样.
112,早上好!,非常感谢你.
113,早上好!,谢谢.
114,怎么了?,没什么.
115,怎么了?,不怎么的
116,怎么了?,没什么,你呢?
117,怎么了?,没啥.
118,怎么了?,没事谢谢，你呢?
119,谁是美国第37届总统?,理查德·尼克松
120,肯尼迪总统哪年遇刺身亡?,1963
121,太空竞赛是哪两个冷战对手之间，在20世纪航天能力的霸主地位上的竞争?,苏联和美国.
122,第一颗人造地球卫星的名称是什么?,斯普特尼克1号
123,一个旋转盘，在它的转轴方向，不受倾斜和旋转的影响，它叫什么?,陀螺.
124,哈勃太空望远镜，于1990年发射进入近地轨道，它是以什么美国天文学家命名的?,爱德温·哈伯
125,离银河系最近的大型星系叫什么?,仙女座星系.
126,天佑女王是哪个国家的国歌?,大不列颠联合王国
127,凯尔特陆棚，是什么大陆的大陆架的一部分?,欧洲
128,海豚使用的一种感觉，类似于声纳，以确定附近的物品的位置和形状.它是什么,回声定位
